Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear
1,300.8,330.037037,1538,36.1,198
2,303.6,335.5925926,1421,44.8,101
2,298.3,321.1481481,1485,42.0,117
1,303.3,333.7407407,1592,33.7,14
1,302.4,330.4074074,1865,23.9,129
0,300.5,328.5555556,1397,45.9,210
0,297.7,327.8148148,1440,51.1,191
1,303.7,338.9259259,1335,51.1,161
2,300.0,327.4444444,1618,36.2,53
2,297.4,322.6296296,1535,34.6,51
0,299.7,325.962963,1456,40.6,182
1,300.3,335.2222222,1707,33.6,158
2,303.6,340.037037,1396,38.2,117
1,302.4,335.2222222,1495,36.8,215
1,302.0,332.6296296,1420,45.9,144
1,300.6,332.2592593,1471,37.9,86
1,297.8,327.8148148,1341,49.2,208
1,298.3,322.6296296,1452,45.5,63
1,300.6,330.4074074,1556,37.7,122
1,299.6,331.8888889,1400,40.8,118
2,298.8,326.3333333,1618,35.1,173
1,299.2,323.3703704,1442,46.5,11
1,303.1,333.3703704,1435,40.1,219
1,298.9,327.4444444,1589,34.2,197
1,303.7,338.9259259,1395,53.9,123
0,298.5,324.1111111,1450,43.9,28
1,297.7,319.6666667,1379,43.3,111
0,299.1,330.4074074,1369,54.5,104
1,301.7,331.5185185,1763,25.9,3
1,297.5,324.8518519,1443,43.5,0
1,297.8,323.0,1518,32.5,190
1,299.8,327.4444444,1447,43.1,12
1,303.0,333.3703704,1511,45.7,184
2,303.8,338.9259259,1555,33.4,128
1,298.6,327.0740741,1325,52.2,127
1,301.6,331.8888889,1564,34.1,150
2,302.5,335.962963,1298,57.5,57
2,298.0,322.2592593,1466,42.6,2
1,302.3,334.1111111,1535,41.8,77
2,301.6,330.7777778,1414,49.3,106
2,302.3,335.2222222,1540,28.9,149
2,298.8,325.962963,1452,48.6,98
1,298.6,327.4444444,1353,62.5,9
1,298.1,324.1111111,1568,32.9,10
1,298.5,327.0740741,1480,38.1,160
1,298.8,325.5925926,1350,52.5,111
1,303.6,337.0740741,1696,30.7,5
2,301.8,331.5185185,1383,45.7,44
1,298.1,319.6666667,1684,33.1,200
1,299.1,323.3703704,1455,39.8,145
1,302.3,333.3703704,1758,24.4,68
1,298.8,331.1481481,1651,33.3,0
1,303.8,339.6666667,1819,23.7,16
2,300.1,333.7407407,1650,33.8,38
2,300.6,328.1851852,1447,42.9,12
1,300.8,335.2222222,1681,31.3,221
2,300.3,327.0740741,1665,31.4,32
0,299.1,328.9259259,1431,49.5,205
2,299.2,325.2222222,1541,36.3,104
1,298.9,323.7407407,1539,45.4,4
1,297.3,323.0,1339,52.1,36
1,301.0,337.0740741,1602,35.9,67
1,300.9,331.5185185,1479,43.3,201
2,298.8,324.4814815,1497,46.8,72
1,299.0,330.037037,1520,45.0,171
1,299.6,332.2592593,1448,46.3,196
1,299.7,325.5925926,1715,27.8,192
1,298.5,328.1851852,1593,35.1,203
2,301.3,332.6296296,1495,40.8,148
2,300.5,326.3333333,1578,30.5,34
2,303.4,338.9259259,1399,48.4,34
2,297.0,320.7777778,1579,34.1,94
0,301.8,331.1481481,1441,46.3,100
1,300.7,327.4444444,1733,24.8,85
2,300.7,327.4444444,1421,49.8,165
1,299.7,333.3703704,1352,52.1,176
1,295.9,316.3333333,1557,41.1,113
1,301.7,332.6296296,1700,28.7,19
2,297.6,322.6296296,1648,29.1,134
0,298.7,323.0,1560,33.3,53
2,297.3,323.0,1521,38.2,87
1,295.5,314.8518519,1448,48.9,65
2,303.3,338.5555556,1397,47.1,137
0,302.4,333.3703704,1506,40.8,204
1,301.3,332.6296296,1554,47.7,84
2,300.5,328.9259259,1415,43.5,98
2,301.3,330.4074074,1577,48.3,78
1,300.4,327.8148148,1488,35.7,177
1,297.0,320.7777778,1500,39.9,175
1,300.3,334.4814815,1548,32.2,25
1,299.9,333.7407407,1647,27.5,26
1,300.8,335.2222222,1432,45.8,6
2,298.2,324.4814815,1456,41.2,150
1,296.8,320.7777778,1565,39.5,124
1,300.4,327.8148148,1534,42.5,127
1,302.3,331.8888889,1377,47.3,22
1,297.9,325.5925926,1595,32.0,32
2,299.9,333.3703704,1579,35.5,162
1,300.2,333.7407407,1487,36.9,71
1,299.8,328.5555556,1553,36.6,157
1,296.8,321.1481481,1337,56.5,5
2,304.0,340.4074074,1466,39.5,83
1,303.6,337.8148148,2232,16.8,0
1,300.2,334.8518519,1511,35.7,160
1,301.3,333.7407407,1509,42.5,213
1,299.5,325.5925926,1476,47.8,223
1,297.9,320.4074074,1517,44.4,67
2,300.3,335.2222222,1447,36.8,0
1,297.4,323.3703704,1462,42.8,68
1,299.1,321.8888889,1479,40.7,10
2,302.5,335.962963,1532,38.8,96
1,301.7,333.3703704,1418,38.0,166
1,302.1,333.3703704,1519,39.3,155
0,296.6,320.4074074,1386,62.3,100
1,297.1,323.3703704,1578,35.6,46
1,301.8,331.8888889,1505,41.2,33
1,300.4,333.7407407,1608,35.1,114
1,296.9,321.5185185,1332,53.9,7
2,299.2,322.6296296,1755,26.4,19
1,301.9,331.1481481,1331,68.6,85
2,300.0,328.5555556,1651,28.1,114
1,301.9,331.5185185,1370,50.3,20
2,300.9,335.962963,1480,40.9,28
1,300.4,331.8888889,1520,37.6,151
1,301.4,331.8888889,1285,62.6,183
1,303.3,334.8518519,1514,34.7,130
1,301.4,331.5185185,1605,34.2,94
1,302.0,330.4074074,1336,58.2,110
2,297.5,323.7407407,1429,50.5,129
1,297.1,322.6296296,1763,25.7,139
1,301.0,330.4074074,1614,31.6,84
1,300.0,326.3333333,1473,46.0,35
1,297.5,326.3333333,1564,37.5,20
2,301.9,334.4814815,1492,40.8,150
1,299.7,333.3703704,1835,23.7,183
0,298.1,323.0,1515,43.8,6
2,299.0,325.2222222,1575,35.3,47
1,301.4,331.5185185,1425,45.1,7
0,298.0,324.1111111,1503,36.3,5
2,297.4,323.3703704,1412,45.5,49
1,298.7,323.3703704,1467,40.7,106
1,300.1,334.1111111,1418,47.7,73
1,301.1,329.2962963,1540,36.6,28
1,298.9,326.3333333,1665,32.5,93
1,300.7,337.8148148,1590,37.9,98
2,301.0,332.2592593,1359,53.4,180
2,302.6,337.4444444,1566,36.6,46
1,296.8,320.7777778,1394,47.7,155
1,298.7,329.6666667,1717,27.3,26
1,303.3,333.3703704,1763,27.3,27
1,300.6,330.7777778,1570,38.3,14
1,300.6,332.2592593,1433,42.6,101
2,302.1,331.1481481,1421,52.0,95
1,298.5,328.5555556,1482,42.1,15
1,303.5,339.6666667,1504,44.8,111
1,301.0,334.8518519,1352,63.5,143
2,303.9,340.7777778,1422,48.0,215
1,299.0,326.7037037,1798,25.5,89
2,302.2,335.2222222,1393,42.5,53
1,301.9,327.8148148,1719,31.9,0
1,299.0,326.7037037,1693,30.1,84
1,302.4,332.6296296,1555,40.6,205
1,300.5,335.962963,1750,28.3,207
1,296.9,323.0,1557,32.4,173
1,299.7,327.4444444,1553,36.8,174
1,298.8,324.1111111,1445,48.5,70
1,299.3,330.4074074,1629,32.6,177
2,297.5,324.1111111,1546,38.0,123
0,300.9,336.3333333,1720,27.9,202
1,299.5,323.7407407,1672,30.5,177
2,296.1,318.1851852,1485,36.0,169
1,298.0,323.3703704,1702,26.7,203
1,300.7,331.1481481,1520,45.9,146
2,301.1,330.7777778,1646,30.7,76
2,297.5,322.6296296,1521,38.2,74
1,297.8,323.0,1737,27.5,146
2,299.8,327.4444444,1346,53.2,95
1,297.1,321.1481481,1496,44.7,88
1,302.4,330.037037,1900,24.4,113
2,300.8,330.037037,1458,43.4,0
2,298.8,328.9259259,1484,44.9,80
1,299.8,325.5925926,1578,42.1,191
0,302.3,335.2222222,1456,45.4,130
