Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear
1,298.3,325.5925926,1616,31.1,195
1,298.2,323.0,1388,53.8,137
1,298.2,320.7777778,1528,31.1,194
2,300.9,331.8888889,1599,33.0,7
1,301.4,330.7777778,1571,33.9,208
1,300.5,330.7777778,1373,47.4,56
2,297.3,324.4814815,1469,44.1,150
1,300.8,335.2222222,1655,32.2,12
1,301.7,332.2592593,1608,33.0,160
1,298.5,322.2592593,1654,27.1,13
1,301.5,333.0,1459,45.1,97
1,298.4,322.6296296,1433,62.3,20
1,299.0,324.1111111,1706,28.6,206
0,300.8,330.7777778,1582,31.1,193
1,299.1,330.037037,1459,46.7,84
0,300.1,327.4444444,1463,45.1,113
1,299.9,333.7407407,1535,38.1,160
1,298.8,328.1851852,1509,36.2,57
1,303.0,333.3703704,1735,26.1,194
1,298.3,325.2222222,1408,45.4,98
1,298.2,325.2222222,1353,57.8,89
0,300.9,333.7407407,1295,58.9,77
1,301.1,329.2962963,1666,27.2,40
2,296.9,319.6666667,1332,51.1,121
1,301.5,330.7777778,1927,22.4,149
1,298.4,325.962963,1610,32.4,194
1,298.4,324.1111111,1523,36.1,126
2,303.5,339.6666667,1618,30.4,130
1,298.2,321.5185185,1658,30.0,3
1,297.5,324.4814815,1477,39.0,127
1,303.6,337.8148148,1418,46.0,128
1,300.0,334.1111111,1483,45.6,187
2,298.7,328.1851852,1343,53.6,134
2,297.9,325.2222222,1530,40.9,42
2,303.1,334.1111111,1831,23.3,161
2,300.1,327.0740741,1462,42.8,50
1,298.5,326.3333333,1623,33.1,109
1,302.3,333.7407407,1439,41.8,96
2,298.5,323.7407407,1384,54.4,44
1,298.7,327.8148148,1667,30.4,92
2,302.2,329.2962963,1572,34.6,17
1,298.5,327.4444444,1419,41.5,105
0,302.0,328.1851852,1280,57.3,147
2,300.4,330.4074074,1544,36.3,21
1,302.5,334.4814815,1677,29.2,49
0,302.2,335.5925926,1330,62.4,31
1,297.7,324.4814815,1896,24.5,186
2,299.1,323.7407407,1499,45.1,185
1,298.6,323.0,1485,42.9,38
1,304.2,341.5185185,1644,31.7,23
2,298.2,325.5925926,1457,49.0,77
2,301.9,327.4444444,1551,34.6,211
1,297.4,324.4814815,1462,49.7,132
1,302.6,331.8888889,1486,36.4,160
1,301.3,333.0,1413,42.0,221
2,301.7,331.8888889,1516,40.4,48
2,300.0,329.6666667,1393,51.2,190
1,297.6,324.1111111,1622,37.9,79
1,299.5,324.4814815,1965,20.4,164
2,302.0,334.4814815,1366,52.3,54
1,296.9,320.4074074,1550,39.7,124
1,302.4,331.8888889,1686,28.8,150
1,297.0,321.1481481,1493,46.1,173
1,302.9,338.1851852,1683,32.1,85
1,300.0,333.3703704,1504,37.9,58
0,300.0,327.0740741,1781,24.9,70
2,298.8,329.2962963,1585,31.3,147
1,298.3,326.7037037,1570,35.6,138
1,298.2,321.1481481,1847,23.6,69
1,298.5,322.6296296,1811,24.7,27
